Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",First Flavor-Tagged Determination of Bounds on Mixing-Induced C P Violation in B s 0→ J/ψ ϕ Decays,Physical review letters,100,16,161802,2008,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Observation of electroweak single top-quark production,Physical review letters,103,9,092002,2009,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Evidence for a mass dependent forward-backward asymmetry in top quark pair production,Physical Review D,83,11,112003,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Forward-Backward Asymmetry in Top-Quark Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,101,20,202001,2008,American Physical Society
"Aaltonen, Timo; Abazov, VM; Abbott, B; Abolins, M; Acharya, BS; Adams, M; Adams, T; Adelman, J; Aguilo, E; Alexeev, GD; ",Combination of Tevatron searches for the standard model Higgs boson in the W+ W-decay mode,Physical review letters,104,6,061802,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Evidence for D 0-D¯ 0 Mixing Using the CDF II Detector,Physical review letters,100,12,121802,2008,American Physical Society
"Aaltonen, TCCT; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of the inclusive jet cross section at the Fermilab Tevatron p p collider using a cone-based jet algorithm,Physical Review D,78,5,052006,2008,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",First Measurement of the t t¯ Differential Cross Section d σ/d M t t¯ in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,22,222003,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Observation of exclusive dijet production at the Fermilab Tevatron p p collider,Physical Review D,77,5,052004,2008,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Invariant Mass Distribution of Jet Pairs Produced in Association with a W Boson in p p¯ Collisions at s= 1.96 TeV,Physical review letters,106,17,171801,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, J; Apollinari, G; ",Search for high-mass resonances decaying to dimuons at CDF,Physical review letters,102,9,091805,2009,American Physical Society
"Aaltonen, T; Abulencia, A; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; ",Measurement of Lifetime and Decay-Width Difference in B s 0→ J/ψ ϕ Decays,Physical review letters,100,12,121803,2008,American Physical Society
"Aaltonen, T; Abulencia, A; Adelman, J; Akimoto, T; Albrow, Michael G; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; ",Search for Resonant t t¯ Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,100,23,231801,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of the cross section for W-boson production in association with jets in p p¯ collisions at s= 1.96 TeV,Physical Review D,77,1,011108,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of Inclusive Jet Cross Sections in Z/γ*(→ e+ e-)+ jets Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,100,10,102001,2008,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for New Bottomlike Quark Pair Decays Q Q¯→(t W∓)(t¯ W±) in Same-Charge Dilepton Events,Physical review letters,104,9,091801,2010,American Physical Society
"Aaltonen, T; Abulencia, A; Adelman, J; Akimoto, T; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; ",First run II measurement of the W boson mass at the Fermilab Tevatron,Physical Review D,77,11,112001,2008,American Physical Society
"Aaltonen, Timo; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Measurement of the Ratio σ t t¯/σ Z/γ*→ l l and Precise Extraction of the t t¯ Cross Section,Physical review letters,105,1,012001,2010,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Inclusive Search for Squark and Gluino Production in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,12,121801,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for High-Mass e+ e-Resonances in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,3,031801,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, J; ",Measurement of the single-top-quark production cross section at CDF,Physical review letters,101,25,252001,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for Heavy Toplike Quarks Using Lepton Plus Jets Events in 1.96 TeV p p¯ Collisions,Physical review letters,100,16,161803,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Observation of the Decay B c±→ J/ψ π±and Measurement of the B c±Mass,Physical review letters,100,18,182002,2008,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Measurement of particle production and inclusive differential cross sections in p p¯ collisions at s= 1.96 TeV,Physical Review D,79,11,112005,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Search for the Flavor-Changing Neutral-Current Decay t→ Z q in p p¯ Collisions at s= 1.96 TeV,Physical review letters,101,19,192002,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Limits on the production of narrow t t¯ resonances in p p¯ collisions at s= 1.96 TeV,Physical Review D,77,5,051102,2008,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for long-lived massive charged particles in 1.96 TeV p p collisions,Physical review letters,103,2,021802,2009,American Physical Society
"Aaltonen, Terhi; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Search for Heavy Bottomlike Quarks Decaying to an Electron or Muon and Jets in p p¯ Collisions at s= 1.96 TeV,Physical review letters,106,14,141803,2011,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Search for the Production of Narrow t b¯ Resonances in 1.9 fb-1 of p p¯ Collisions at s= 1.96 TeV,Physical review letters,103,4,041801,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Observation of new charmless decays of bottom hadrons,Physical review letters,103,3,031801,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Inclusive Search for Standard Model Higgs Boson Production in the W W Decay Channel Using the CDF II Detector,Physical review letters,104,6,061803,2010,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Observation of the Ω b-baryon and measurement of the properties of the Ξ b-and Ω b-baryons,Physical Review D,80,7,072003,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",First Measurement of W Boson Production in Association with a Single Charm Quark in p p¯ Collisions at s= 1.96 TeV,Physical review letters,100,9,091803,2008,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Precision Measurement of the X (3872) Mass in J/ψ π+ π-Decays,Physical review letters,103,15,152001,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for top-quark production via flavor-changing neutral currents in W+ 1 jet events at CDF,Physical review letters,102,15,151801,2009,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of ratios of fragmentation fractions for bottom hadrons in p p¯ collisions at s= 1.96 TeV,Physical Review D,77,7,072003,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Direct Measurement of the W Production Charge Asymmetry in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,18,181801,2009,American Physical Society
"Aaltonen, Terhi; Abazov, Victor Mukhamedovich; Abbott, B; Abolins, M; Acharya, Bobby Samir; Adams, M; Adams, T; Adelman, Jahred; Aguiló, Ernest; Alexeev, GD; ",Combined Tevatron upper limit on g g→ H→ W+ W-and constraints on the Higgs boson mass in fourth-generation fermion models,Physical Review D,82,1,011102,2010,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, J; ",Measurement of the top quark mass and p p¯→ t t¯ cross section in the all-hadronic mode with the CDF II detector,Physical Review D,81,5,052011,2010,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Search for a Standard Model Higgs Boson in W H→ ℓ v b b¯ in p p¯ Collisions at s= 1.96 TeV,Physical review letters,103,10,101802,2009,American Physical Society
"Aaltonen, T; Abulencia, A; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; ",Model-independent and quasi-model-independent search for new physics at CDF,Physical Review D,78,1,012002,2008,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, J; ",Search for doubly charged Higgs bosons with lepton-flavor-violating decays involving τ leptons,Physical review letters,101,12,121801,2008,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; Albrow, MG; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; ",Measurement of the top-quark mass with dilepton events selected using neuroevolution at CDF,Physical Review Letters,102,15,152001,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; González, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Search for supersymmetry with gauge-mediated breaking in diphoton events with missing transverse energy at CDF II,Physical review letters,104,1,011801,2010,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Top quark mass measurement in the lepton plus jets channel using a modified matrix element method,Physical Review D,79,7,072001,2009,American Physical Society
"Aaltonen, Timo; Adelman, J; Akimoto, T; Albrow, Michael G; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, J; ",Search for Maximal Flavor Violating Scalars in Same-Charge Lepton Pairs in p p¯ Collisions at s= 1.96 TeV,Physical review letters,102,4,041801,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Studying the underlying event in Drell-Yan and high transverse momentum jet production at the Tevatron,Physical Review D,82,3,034001,2010,American Physical Society
"Aaltonen, Terhi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Appel, JA; Apresyan, A; ",Observation of the Baryonic Flavor-Changing Neutral Current Decay Λ b 0→ Λ μ+ μ,Physical review letters,107,20,201802,2011,American Physical Society
"Aaltonen, T; Adelman, J; Akimoto, T; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; ",Measurement of cross sections for b jet production in events with a Z boson in p p¯ collisions at s= 1.96 TeV,Physical Review D,79,5,052008,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Akimoto, Takashi; González, B Álvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, Alberto; Antos, Jaroslav; Apollinari, G; ",Search for a Fermiophobic Higgs Boson Decaying into Diphotons in p p¯ Collisions at s= 1.96 TeV,Physical review letters,103,6,061803,2009,American Physical Society
"Aaltonen, Terhi; Adelman, Jahred; Gonzalez, B Alvarez; Amerio, S; Amidei, D; Anastassov, A; Annovi, A; Antos, J; Apollinari, G; Apresyan, A; ",Measurement of the W+ W-Production Cross Section and Search for Anomalous W W γ and W W Z Couplings in p p¯ Collisions at s= 1.96 TeV,Physical review letters,104,20,201801,2010,American Physical Society
